DataSeries,2025,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000
        HDB 5-Room And Executive Flats,33202,28994,25849,22224,19025,18878,19203,18724,18376,17487,16174,15291,13978,13244,12919,12457,11759,11191,10970,10437,9925,9082,8069,8300,7659,7094
    Condominiums & Other Apartments,13930,12271,10839,9143,7500,7268,7311,7128,6823,6199,5664,5082,4491,4118,3850,3552,3316,3217,3209,3042,2809,2372,2047,2288,2059,1789
    Landed Properties,12368,11113,10184,9114,8057,7927,8169,7892,7917,7736,7367,7068,6711,6434,6396,6284,6057,6002,5820,5581,5291,4749,4239,4650,4437,4242
    Other Types Of Dwelling,3786,3263,2989,2514,2287,2401,2594,2659,2516,2437,2161,2094,1971,1905,1988,2009,2025,1995,1415,1455,1503,1215,1112,1658,1512,1299
80-84 Years,74810,77542,76165,74937,71555,66513,62293,57103,54341,53556,51785,48418,46199,44115,42145,39839,37143,33882,31519,29443,27879,26864,25783,25213,23897,22876
    Total HDB Dwellings,58879,61256,60344,59443,56793,52601,49238,45012,43021,42687,41364,38433,36452,34738,33086,31332,29116,26570,25134,23407,22107,21667,20888,20309,19172,18404
        HDB 1- And 2-Room Flats,6010,6313,6190,6145,5936,5598,5209,4828,4559,4500,4385,4006,3825,3577,3396,3196,2996,2668,2594,2484,2381,2356,2315,2383,2163,2088
        HDB 3-Room Flats,16106,16934,17113,17156,16649,15381,14414,13148,12554,12322,11826,10972,10240,9808,9382,8868,8199,7359,7026,6480,6171,6256,6077,5872,5809,5755
        HDB 4-Room Flats,21488,22409,21879,21373,20233,18664,17442,16036,15400,15424,15055,13999,13342,12660,12034,11442,10684,9780,9210,8448,7963,7776,7438,7154,6629,6255
        HDB 5-Room And Executive Flats,15275,15600,15162,14769,13975,12958,12173,11000,10508,10393,10058,9406,8983,8616,8191,7732,7138,6671,6194,5895,5499,5201,4975,4784,4420,4164
    Condominiums & Other Apartments,6228,6205,5950,5689,5283,4971,4553,4069,3761,3395,3151,2860,2705,2552,2497,2246,2062,1890,1837,1686,1540,1441,1344,1312,1214,1110
    Landed Properties,6618,6873,6693,6668,6479,6255,5925,5621,5411,5318,5216,5099,5005,4814,4524,4249,3922,3559,3370,3177,3085,2952,2829,2829,2741,2598
    Other Types Of Dwelling,3085,3208,3178,3137,3000,2686,2577,2401,2148,2156,2054,2026,2037,2011,2038,2012,2043,1863,1178,1173,1147,804,722,763,770,764
85-89 Years,47550,43906,40016,37948,37668,36586,33935,31991,30481,29086,27494,25486,23235,21503,19756,18481,17569,16734,15923,15206,14514,13778,13217,13047,12500,12092
    Total HDB Dwellings,36044,33325,30263,28908,28793,27997,25905,24217,23120,22030,20791,19121,17480,16192,14816,13844,13011,12456,12296,11606,11039,10869,10485,10252,9840,9529
        HDB 1- And 2-Room Flats,3657,3381,3129,2967,2991,2928,2690,2541,2440,2261,2131,1963,1794,1645,1517,1384,1328,1334,1371,1336,1279,1316,1241,1256,1204,1226
        HDB 3-Room Flats,10460,9712,8749,8354,8246,7946,7271,6676,6331,6012,5614,5132,4657,4380,4045,3836,3577,3432,3380,3166,3093,3151,3104,3054,2929,2910
        HDB 4-Room Flats,12838,11844,10802,10362,10503,10266,9572,9003,8515,8098,7643,7054,6436,5970,5361,4980,4685,4518,4407,4135,3886,3772,3554,3484,3332,3145
        HDB 5-Room And Executive Flats,9089,8388,7583,7225,7053,6857,6372,5997,5834,5633,5380,4947,4549,4150,3846,3591,3377,3136,3083,2913,2728,2586,2532,2399,2304,2170
    Condominiums & Other Apartments,3676,3368,2975,2708,2571,2425,2215,2150,1986,1865,1693,1562,1379,1266,1132,1000,963,977,988,938,865,748,660,672,595,555
    Landed Properties,4695,4383,4151,3999,3934,3854,3735,3605,3465,3274,3060,2834,2566,2348,2188,2105,2053,1937,1886,1850,1717,1574,1516,1578,1512,1452
    Other Types Of Dwelling,3135,2830,2627,2333,2370,2310,2080,2019,1910,1917,1950,1969,1810,1697,1620,1532,1542,1364,753,812,893,587,556,545,553,556
90 Years & Over,27360,25155,23728,22942,22090,20875,19429,17786,16454,15157,14169,13390,12821,12050,11366,10760,10244,9681,9024,8510,8066,7532,6890,6705,6017,5431
    Total HDB Dwellings,19209,17507,16415,16070,15440,14636,13540,12414,11462,10404,9732,9138,8748,8158,7568,7141,6729,6410,6451,5990,5649,5705,5288,5143,4594,4170
        HDB 1- And 2-Room Flats,2007,1819,1750,1801,1736,1655,1569,1449,1345,1236,1140,1076,1038,980,868,834,860,819,835,796,760,762,698,685,626,587
        HDB 3-Room Flats,5328,4812,4459,4307,4147,3890,3570,3262,3041,2765,2592,2397,2337,2177,2043,1938,1767,1668,1722,1597,1563,1650,1534,1475,1362,1230
        HDB 4-Room Flats,7066,6482,6086,5877,5632,5346,4898,4463,4140,3719,3468,3246,3070,2846,2645,2496,2311,2208,2229,2058,1892,1945,1821,1757,1552,1410
        HDB 5-Room And Executive Flats,4808,4394,4120,4085,3925,3745,3503,3240,2936,2666,2515,2395,2273,2124,1986,1845,1767,1692,1632,1507,1401,1317,1204,1178,1005,901
    Condominiums & Other Apartments,1836,1678,1567,1474,1363,1255,1187,1094,1037,908,818,752,709,673,639,585,526,482,499,461,421,351,301,288,247,192
    Landed Properties,3126,2982,2944,2761,2613,2453,2271,2080,1916,1798,1686,1592,1517,1458,1387,1257,1159,1104,1083,999,915,817,780,771,693,636
    Other Types Of Dwelling,3189,2988,2802,2637,2674,2531,2431,2198,2039,2047,1933,1908,1847,1761,1772,1777,1830,1685,991,1060,1081,659,521,503,483,433
