DataSeries,2025,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000
        HDB 4-Room Flats,63214,64739,65235,65357,65064,65611,64809,64916,65432,65392,66107,66306,65762,66002,66947,70364,73708,75371,77696,81034,83163,85197,88473,91243,92283,93349
        HDB 5-Room And Executive Flats,54472,54151,53515,52946,52442,52891,53684,55390,57809,60200,62850,64651,66181,67589,69509,72708,75343,76423,78224,80117,80854,81717,83101,83321,79500,73317
    Condominiums & Other Apartments,47468,47397,46433,45938,44016,41916,40229,38410,35460,32461,30617,29080,28054,27063,26440,26736,26238,25929,27483,27311,26123,24704,24095,23769,21232,18080
    Landed Properties,10595,10822,10966,10980,10630,10555,10570,10660,10791,11080,11241,11606,11588,11600,11519,11989,11958,12287,12662,13114,13576,14306,15314,16453,17043,17418
    Other Types Of Dwelling,757,761,758,673,645,769,809,845,905,1000,1038,1028,1094,1172,1187,1229,1341,1345,1375,1220,1158,1274,1371,1670,1964,2259
10-14 Years,206577,204391,204459,202379,199993,206393,207926,206530,206253,207495,214388,220796,226244,233320,240536,244302,248628,253796,255292,256482,258553,257283,259124,257692,246972,235352
    Total HDB Dwellings,141848,141936,143848,143751,143778,150676,153260,154403,157104,160924,168505,175901,181834,188562,195124,198219,202214,206166,206529,208232,210815,210946,213264,212574,205239,197568
        HDB 1- And 2-Room Flats,7055,7008,7238,7319,7488,7742,7890,7951,8018,7992,7910,7748,7261,6387,5675,5006,4375,4052,3672,3485,3419,3356,3442,3630,3936,4418
        HDB 3-Room Flats,16923,17661,18799,19460,20073,21835,22690,23112,23589,24091,25258,26342,26953,27971,28965,28665,28647,28306,28009,28547,29768,31098,33729,35652,37269,39875
        HDB 4-Room Flats,60732,60515,60892,59934,58913,61226,61676,61504,61955,63307,66587,70030,72883,76266,79655,82176,84866,87716,88873,90423,91861,92479,93409,92851,88660,84698
        HDB 5-Room And Executive Flats,57138,56752,56919,57038,57304,59873,61004,61836,63542,65409,68612,71612,74405,77508,80366,81759,83653,85346,85035,84757,84657,82885,81418,78946,73413,66600
    Condominiums & Other Apartments,50586,48376,46410,44784,42727,41933,40703,38371,35337,32373,30914,29532,28691,28456,28560,28821,28407,28718,29153,28160,26700,24894,23735,22387,19594,16838
    Landed Properties,13379,13292,13434,13086,12776,12991,13191,12960,12964,13264,13915,14311,14558,15076,15545,15942,16551,17432,18239,18783,19693,20071,20586,21020,20331,19093
    Other Types Of Dwelling,764,787,767,758,712,793,772,796,848,934,1054,1052,1161,1226,1307,1320,1456,1480,1371,1307,1345,1372,1539,1711,1808,1853
15-19 Years,211394,211067,209579,206749,204913,215234,222222,226520,232973,239771,242902,247337,255066,258861,260738,263750,262775,262856,257298,246547,234921,227417,214074,209687,210903,211286
    Total HDB Dwellings,150556,151562,152023,151228,151259,161230,168968,174718,182255,190208,194575,199244,206288,209863,211810,214395,214281,214637,210289,202341,194002,188800,179276,176835,179187,180828
        HDB 1- And 2-Room Flats,7746,8030,7987,8035,8078,8307,8674,8924,9237,9245,9086,8595,8025,7187,6549,5789,5241,4853,4453,4018,3892,3899,3969,4225,4758,5458
        HDB 3-Room Flats,20167,20926,21414,21646,21600,23346,24481,25288,26141,27316,27778,28298,29039,30019,30569,30999,31127,31671,31328,31253,31456,32472,33568,35759,39382,43898
        HDB 4-Room Flats,61052,60938,60780,59811,59665,63888,67299,69826,73143,76821,79285,81794,85462,87912,89612,91728,92981,93927,92632,89693,86504,84235,79980,78532,78075,77232
        HDB 5-Room And Executive Flats,61591,61668,61842,61736,61916,65689,68514,70680,73734,76659,78237,80322,83210,84036,84280,84881,83900,83153,80748,76277,71147,67237,60764,57189,55409,52540
    Condominiums & Other Apartments,45320,43762,41814,39990,38440,38096,37003,35440,33757,31848,30192,29165,28802,28551,27992,27249,25966,25238,24277,22408,20164,18426,16040,14556,13382,12263
    Landed Properties,14774,14900,14811,14611,14343,15006,15282,15466,16087,16738,17112,17759,18606,19015,19509,20556,20866,21334,21364,20535,19539,18958,17438,16875,16856,16587
    Other Types Of Dwelling,744,843,931,920,871,902,969,896,874,977,1023,1169,1370,1432,1427,1550,1662,1647,1368,1263,1216,1233,1320,1421,1478,1608
20-24 Years,218686,224644,229066,233303,237720,244537,249079,255516,259072,260854,264127,263918,266889,264506,255069,247190,241753,225385,218485,219631,218951,215217,215412,216313,214636,212236
    Total HDB Dwellings,163651,170468,175585,180493,186122,192423,197454,203941,208219,211026,215017,216055,219254,218221,211443,205486,201936,189599,184184,185583,185863,183668,184423,185589,184248,183046
        HDB 1- And 2-Room Flats,9091,9321,9591,9787,9924,9929,9939,10299,10523,10218,10033,9581,8974,8071,7081,6184,5689,5334,5069,5013,4996,4982,5014,5139,5327,5982
        HDB 3-Room Flats,23014,24157,24991,25569,26463,27456,27918,28619,29373,30481,31694,32658,33620,34252,34270,34191,34979,34136,34678,36356,38314,39925,42597,45861,49198,52895
        HDB 4-Room Flats,65389,68480,70699,73280,76014,78951,81519,84571,86804,88330,90525,91746,93938,94145,92261,90636,89534,84696,82811,83475,83192,81742,81341,81007,78151,75437
        HDB 5-Room And Executive Flats,66157,68510,70304,71857,73721,76087,78078,80452,81519,81762,82515,81744,82014,80895,77032,73581,70879,64619,60754,59849,58495,56104,54511,52427,50074,47144
    Condominiums & Other Apartments,38545,37449,36386,35529,34240,33817,32712,32063,30866,29040,27421,25721,24705,23409,21898,20575,19244,17267,16789,16562,15745,14546,13645,12945,12019,10869
    Landed Properties,15246,15450,15823,16068,16143,17045,17615,18339,18851,19369,20045,20198,20678,20745,19909,19059,18584,16908,16190,16180,16025,15677,15820,15952,16431,16306
    Other Types Of Dwelling,1244,1277,1272,1213,1215,1252,1298,1173,1136,1419,1644,1944,2252,2131,1819,2070,1989,1611,1322,1306,1318,1326,1524,1827,1938,2015
25-29 Years,263735,269536,277889,280082,278037,286997,288194,291631,290198,279988,271030,265659,255615,254582,262606,272639,274308,263114,254523,251659,247799,246713,250878,262720,262754,267161
    Total HDB Dwellings,209359,215530,223093,225329,225547,232921,234747,238548,238980,232715,227079,223675,217281,217667,225138,233875,236524,226896,217963,214873,212425,212640,217438,227740,229210,234929
        HDB 1- And 2-Room Flats,10456,10195,10188,10154,10049,9918,9824,9746,9795,9361,9007,8676,8112,7381,6851,6155,5707,5333,4990,4541,4466,4377,4429,4981,5713,7009
