age_group,ethnicity,sex,residents
60,Chinese,Females,23029
60,Malays,Males,3890
60,Malays,Females,3935
60,Indians,Males,2437
60,Indians,Females,2162
60,Others,Males,674
60,Others,Females,610
61,Chinese,Males,22800
61,Chinese,Females,23084
61,Malays,Males,3668
61,Malays,Females,3692
61,Indians,Males,2295
61,Indians,Females,2011
61,Others,Males,608
61,Others,Females,538
62,Chinese,Males,22116
62,Chinese,Females,22706
62,Malays,Males,3456
62,Malays,Females,3558
62,Indians,Males,2138
62,Indians,Females,1986
62,Others,Males,608
62,Others,Females,455
63,Chinese,Males,22063
63,Chinese,Females,22724
63,Malays,Males,3174
63,Malays,Females,3276
63,Indians,Males,1906
63,Indians,Females,1843
63,Others,Males,543
63,Others,Females,419
64,Chinese,Males,21004
64,Chinese,Females,21767
64,Malays,Males,2992
64,Malays,Females,3182
64,Indians,Males,1870
64,Indians,Females,1803
64,Others,Males,497
64,Others,Females,375
65,Chinese,Males,20120
65,Chinese,Females,20871
65,Malays,Males,2766
65,Malays,Females,2985
65,Indians,Males,1615
65,Indians,Females,1721
65,Others,Males,439
65,Others,Females,376
66,Chinese,Males,19941
66,Chinese,Females,20071
66,Malays,Males,2703
66,Malays,Females,2850
66,Indians,Males,1519
66,Indians,Females,1597
66,Others,Males,421
66,Others,Females,307
67,Chinese,Males,18449
67,Chinese,Females,18979
67,Malays,Males,2283
67,Malays,Females,2552
67,Indians,Males,1492
67,Indians,Females,1421
67,Others,Males,380
67,Others,Females,296
68,Chinese,Males,17244
68,Chinese,Females,18132
68,Malays,Males,2008
68,Malays,Females,2369
68,Indians,Males,1326
68,Indians,Females,1403
68,Others,Males,337
68,Others,Females,259
69,Chinese,Males,16267
69,Chinese,Females,17023
69,Malays,Males,1786
69,Malays,Females,2064
69,Indians,Males,1187
69,Indians,Females,1296
69,Others,Males,326
69,Others,Females,215
70,Chinese,Males,15969
70,Chinese,Females,17095
70,Malays,Males,1724
70,Malays,Females,2039
70,Indians,Males,1206
70,Indians,Females,1330
70,Others,Males,321
70,Others,Females,250
71,Chinese,Males,15423
71,Chinese,Females,16366
71,Malays,Males,1542
71,Malays,Females,1825
71,Indians,Males,1038
71,Indians,Females,1218
71,Others,Males,286
71,Others,Females,218
72,Chinese,Males,13953
72,Chinese,Females,15585
72,Malays,Males,1464
72,Malays,Females,1729
72,Indians,Males,971
72,Indians,Females,1102
72,Others,Males,289
72,Others,Females,204
73,Chinese,Males,13368
73,Chinese,Females,15160
73,Malays,Males,1489
73,Malays,Females,1695
73,Indians,Males,960
73,Indians,Females,1101
73,Others,Males,270
73,Others,Females,204
74,Chinese,Males,9063
74,Chinese,Females,10336
74,Malays,Males,795
74,Malays,Females,972
74,Indians,Males,530
74,Indians,Females,645
74,Others,Males,158
74,Others,Females,115
75,Chinese,Males,6735
75,Chinese,Females,7904
75,Malays,Males,596
75,Malays,Females,771
75,Indians,Males,456
75,Indians,Females,531
75,Others,Males,122
75,Others,Females,81
76,Chinese,Males,8112
76,Chinese,Females,9686
76,Malays,Males,770
76,Malays,Females,970
76,Indians,Males,466
76,Indians,Females,538
76,Others,Males,139
76,Others,Females,72
77,Chinese,Males,6873
77,Chinese,Females,8049
77,Malays,Males,565
77,Malays,Females,756
77,Indians,Males,354
77,Indians,Females,500
77,Others,Males,108
77,Others,Females,97
78,Chinese,Males,6352
78,Chinese,Females,8235
78,Malays,Males,476
78,Malays,Females,740
78,Indians,Males,396
78,Indians,Females,514
78,Others,Males,98
78,Others,Females,91
79,Chinese,Males,7119
79,Chinese,Females,9254
79,Malays,Males,563
79,Malays,Females,808
79,Indians,Males,375
79,Indians,Females,521
79,Others,Males,98
79,Others,Females,99
80,Chinese,Males,6524
80,Chinese,Females,8790
80,Malays,Males,558
80,Malays,Females,764
80,Indians,Males,362
80,Indians,Females,562
80,Others,Males,105
80,Others,Females,101
81,Chinese,Males,5948
81,Chinese,Females,8262
81,Malays,Males,522
81,Malays,Females,746
81,Indians,Males,291
81,Indians,Females,497
81,Others,Males,74
81,Others,Females,84
82,Chinese,Males,4610
82,Chinese,Females,6241
82,Malays,Males,432
82,Malays,Females,610
82,Indians,Males,246
82,Indians,Females,419
82,Others,Males,60
82,Others,Females,77
83,Chinese,Males,3561
83,Chinese,Females,4932
83,Malays,Males,360
